BARRIO,ESTRENAR,POZO,INDEX,USADO
Puerto Madero,6854,7983,6063,5942
Palermo,3781,3561,3573,3486
Belgrano,3897,3547,3406,3239
Nuñez,3384,3266,3295,3265
Recoleta,3571,3686,3196,3148
Retiro,3310,4525,3154,3148
Colegiales,3485,3416,3120,3019
Villa Urquiza,3000,3067,3011,3018
Chacarita,3148,2759,2911,2806
Coghlan,2850,2871,2873,2888
Villa Ortuzar,2867,2789,2830,2813
Villa Devoto,2900,2747,2816,2755
Saavedra,2870,2819,2803,2739
Parque Chacabuco,3192,2900,2793,2365
Caballito,3042,2850,2747,2646
Villa Crespo,3035,2962,2736,2592
Parque Chas,2703,2689,2711,2711
San Telmo,2894,3040,2678,2587
Villa Pueyrredon,2720,2864,2623,2574
Agronomía,2809,-,2597,2558
Almagro,2857,2824,2593,2510
Paternal,2566,2534,2552,2520
Villa del Parque,2608,2596,2548,2518
Barracas,2649,2719,2496,2469
Liniers,2620,2472,2416,2235
Boedo,2515,2473,2384,2287
Villa Luro,2471,2375,2370,2291
Monte Castro,2475,2075,2362,2302
Flores,2665,2629,2353,2196
San Nicolás,2929,2502,2340,2311
Versalles,2572,-,2321,2111
Santa Rita,2358,2767,2318,2298
Villa Real,2717,-,2292,2200
Monserrat,2500,2344,2245,2215
San Cristobal,2523,2112,2237,2057
Mataderos,2378,2437,2218,2091
Velez Sarsfield,2390,2315,2181,2089
Balvanera,2618,2252,2173,2110
Constitución,2345,2446,2115,1948
Parque Patricios,2296,2482,2066,2014
Parque Avellaneda,2228,-,2040,1892
Nueva Pompeya,2263,-,2009,1795
Floresta,2275,2591,2000,1986
La Boca,2324,2094,1947,1876
Villa Riachuelo,-,-,1749,1682
Lugano,2352,-,1207,1166
Villa Soldati,-,-,931,931
